STARTDATE,ENDDATE,CRITICALFLAG,VIOLATIONCODE,VIOLATIONDESC
7/1/2008 0:00,8/1/2009 0:00,Y,01C,Notice of the department or Board mutilated. obstructed. or removed.    
1/1/1901 0:00,3/23/2003 0:00,Y,01D,"Current valid<a    onmouseover=ShowContent('F2' '01D'); return true;""     href=""javascript:ShowContent('F2' '01D')"">'food vendor license</a> not available.""  "
3/24/2003 0:00,2/17/2005 0:00,Y,01D,Failure to comply with an Order of the Board. Commissioner or Department.    
2/18/2005 0:00,6/30/2007 0:00,Y,01D,Failure to comply with an Order of the Board. Commissioner or Department.    
7/1/2007 0:00,6/30/2008 0:00,Y,01D,Failure to comply with an Order of the Board. Commissioner or Department.    
7/1/2008 0:00,8/1/2009 0:00,Y,01D,Failure to comply with an Order of the Board. Commissioner or Department.    
1/1/1901 0:00,3/23/2003 0:00,Y,01E,Document issued by the Board. Commissioner or Department unlawfully reproduced or altered.    
3/24/2003 0:00,2/17/2005 0:00,Y,01E,Duties of an officer of the Department interfered with or obstructed.    
2/18/2005 0:00,6/30/2007 0:00,Y,01E,Duties of an officer of the Department interfered with or obstructed.    
7/1/2007 0:00,6/30/2008 0:00,Y,01E,Duties of an officer of the Department interfered with or obstructed.    
7/1/2008 0:00,8/1/2009 0:00,Y,01E,Duties of an officer of the Department interfered with or obstructed.    
1/1/1901 0:00,3/23/2003 0:00,Y,01F,Notice of the Department or Board mutilated. obstructed. or removed.    
3/24/2003 0:00,2/17/2005 0:00,Y,01F,"Failure to report occurrences of suspected <a   class=glossary""  onmouseover=""ShowContent('F1' '01F'); return true;""     href=""javascript:ShowContent('F1' '01F')"">food borne illness</a> to the Department.""  "
2/18/2005 0:00,6/30/2007 0:00,Y,01F,"Failure to report occurrences of suspected <a     class=glossary""  onmouseover=""ShowContent('F1' '01F'); return true;""     href=""javascript:ShowContent(F1' '01F')"">food borne illness</a> to the Department.""  "
7/1/2007 0:00,6/30/2008 0:00,Y,01F,Failure to report occurrences of suspected food borne illness to the Department.    
7/1/2008 0:00,8/1/2009 0:00,Y,01F,Failure to report occurrences of suspected food borne illness to the Department.    
1/1/1901 0:00,3/23/2003 0:00,Y,01G,Failure to comply with an Order of the Board. Commissioner or Department.    
1/1/1901 0:00,3/23/2003 0:00,Y,01H,Duties of an officer of the Department interfered with or obstructed.    
1/1/1901 0:00,3/23/2003 0:00,Y,01I,"<a    onmouseover=ShowContent(N1' '01I'); return true;""     href=""javascript:ShowContent('N1' '01I')""> Nuisance</a> created or allowed to exist. Facility not free from unsafe  hazardous  offensive or annoying condition."""
1/1/1901 0:00,3/23/2003 0:00,Y,02A,"<a href=http://www.nyc.gov/html/doh/html/rii/glossary.html#R1"" target=""gloss_win"">Food not cooked to required minimum temperature.</a>""    "
3/24/2003 0:00,2/17/2005 0:00,Y,02A,"<a href=http://www.nyc.gov/html/doh/html/rii/glossary.html#R1"" target=""gloss_win"">Food not cooked to required minimum temperature.</a>""    "
2/18/2005 0:00,6/30/2007 0:00,Y,02A,Food not cooked to required minimum temperature.    
7/1/2007 0:00,6/30/2008 0:00,Y,02A,Food not cooked to required minimum temperature.    
7/1/2008 0:00,8/1/2009 0:00,Y,02A,Food not cooked to required minimum temperature.    
8/2/2009 0:00,7/25/2010 0:00,Y,02A,Food not cooked to required minimum temperature.    
7/26/2010 0:00,12/31/2099 0:00,Y,02A,Food not cooked to required minimum temperature.    
1/1/1901 0:00,3/23/2003 0:00,Y,02B,Hot food not held at or above 140&#176;F.    
3/24/2003 0:00,2/17/2005 0:00,Y,02B,Hot food not held at or above 140&#176;F.    
2/18/2005 0:00,6/30/2007 0:00,Y,02B,Hot food not held at or above 140&#176;F.    
7/1/2007 0:00,6/30/2008 0:00,Y,02B,Hot food not held at or above 140°F.    
7/1/2008 0:00,8/1/2009 0:00,Y,02B,Hot food not held at or above 140°F.    
8/2/2009 0:00,7/25/2010 0:00,Y,02B,Hot food not held at or above 140°F.    
7/26/2010 0:00,12/31/2099 0:00,Y,02B,Hot food item not held at or above 140º F.    
1/1/1901 0:00,3/23/2003 0:00,Y,02C,Hot food that has been cooked and refrigerated is being held for service without first being reheated to 165&#176;F or above within 2 hours.    
3/24/2003 0:00,2/17/2005 0:00,Y,02C,Hot food that has been cooked and refrigerated is being held for service without first being reheated to 165&#176;F or above within 2 hours.    
2/18/2005 0:00,6/30/2007 0:00,Y,02C,Hot food that has been cooked and refrigerated is being held for service without first being reheated to 165&#176;F or above within 2 hours.    
7/1/2007 0:00,6/30/2008 0:00,Y,02C,Hot food that has been cooked and refrigerated is being held for service without first being reheated to 165°F or above within 2 hours.    
7/1/2008 0:00,8/1/2009 0:00,Y,02C,Hot food that has been cooked and refrigerated is being held for service without first being reheated to 165°F or above within 2 hours.    
8/2/2009 0:00,7/25/2010 0:00,Y,02C,Hot food that has been cooked and refrigerated is being held for service without first being reheated to 165°F or above within 2 hours.    
7/26/2010 0:00,12/31/2099 0:00,Y,02C,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65º F or above within 2 hours.    
1/1/1901 0:00,3/23/2003 0:00,Y,02D,"Precooked<a    onmouseover=ShowContent('P4' '02D'); return true;""     href=""javascript:ShowContent('P4' '02D')""> potentially hazardous food</a> from commercial food processing establishment that is to be heated  is not heated to 140&#176;F within 2 hours."" "
3/24/2003 0:00,2/17/2005 0:00,Y,02D,"Precooked<a    onmouseover=ShowContent('P4' '02D'); return true;""     href=""javascript:ShowContent('P4' '02D')""> potentially hazardous food</a> from commercial food processing establishment that is to be heated  is not heated to 140&#176;F within 2 hours."" "
2/18/2005 0:00,6/30/2007 0:00,Y,02D,"Precooked<a    onmouseover=ShowContent('P4' '02D'); return true;""     href=""javascript:ShowContent('P4' '02D')""> potentially hazardous food</a> from commercial food processing establishment that is to be heated  is not heated to 140&#176;F within 2 hours."" "
7/1/2007 0:00,6/30/2008 0:00,Y,02D,Precooked potentially hazardous food from commercial food processing establishment that is to be heated. is not heated to 140°F within 2 hours.    
7/1/2008 0:00,8/1/2009 0:00,Y,02D,Precooked potentially hazardous food from commercial food processing establishment that is to be heated. is not heated to 140°F within 2 hours.    
8/2/2009 0:00,7/25/2010 0:00,Y,02D,Precooked potentially hazardous food from commercial food processing establishment that is to be heated. is not heated to 140°F within 2 hours.    
7/26/2010 0:00,12/31/2099 0:00,Y,02D,Precooked potentially hazardous food from commercial food processing establishment that is supposed to be heated. but is not heated to 140º F within 2 hours.    
1/1/1901 0:00,3/23/2003 0:00,Y,02E,Whole frozen poultry or poultry breasts. other than a single portion. are being cooked frozen or partially thawed.    
3/24/2003 0:00,2/17/2005 0:00,Y,02E,Whole frozen poultry or poultry breasts. other than a single portion. are being cooked frozen or partially thawed.    
2/18/2005 0:00,6/30/2007 0:00,Y,02E,Whole frozen poultry or poultry breasts. other than a single portion. are being cooked frozen or partially thawed.    
7/1/2007 0:00,6/30/2008 0:00,Y,02E,Whole frozen poultry or poultry breasts. other than a single portion. are being cooked frozen or partially thawed.    
7/1/2008 0:00,8/1/2009 0:00,Y,02E,Whole frozen poultry or poultry breasts. other than a single portion. are being cooked frozen or partially thawed.    
8/2/2009 0:00,7/25/2010 0:00,Y,02E,Whole frozen poultry or poultry breasts. other than a single portion. are being cooked frozen or partially thawed.    
7/26/2010 0:00,12/31/2099 0:00,Y,02E,Whole frozen poultry or poultry breasts. other than a single portion. is being cooked frozen or partially thawed.    
1/1/1901 0:00,3/23/2003 0:00,Y,02F,"Meat. fish or <a    onmouseover=ShowContent(M1' '02F'); return true;""     href=""javascript:ShowContent('M1' '02F')"">molluscan shellfish</a> served raw or undercooked without prior notification to customer.""  "
3/24/2003 0:00,2/17/2005 0:00,Y,02F,"Meat. fish or <a    onmouseover=ShowContent(M1' '02F'); return true;""     href=""javascript:ShowContent('M1' '02F')"">molluscan shellfish</a> served raw or undercooked without prior notification to customer.""  "
2/18/2005 0:00,6/30/2007 0:00,Y,02F,"Meat. fish or <a    onmouseover=ShowContent(M1' '02F'); return true;""     href=""javascript:ShowContent('M1' '02F')"">molluscan shellfish</a> served raw or undercooked without prior notification to customer.""  "
7/1/2007 0:00,6/30/2008 0:00,Y,02F,Meat. fish or molluscan shellfish served raw or undercooked without prior notification to customer.    
7/1/2008 0:00,8/1/2009 0:00,Y,02F,Meat. fish or molluscan shellfish served raw or undercooked without prior notification to customer.    
8/2/2009 0:00,7/25/2010 0:00,Y,02F,Meat. fish or molluscan shellfish served raw or undercooked without prior notification to customer.    
7/26/2010 0:00,12/31/2099 0:00,Y,02F,Meat. fish or molluscan shellfish served raw or undercooked without prior notification to customer.    
3/24/2003 0:00,2/17/2005 0:00,Y,02G,Cold food held above 41&#176;F (smoked fish above 38&#176;F) except during necessary preparation.    
2/18/2005 0:00,6/30/2007 0:00,Y,02G,Cold food held above 41&#176;F (smoked fish above 38&#176;F) except during necessary preparation.    
7/1/2007 0:00,6/30/2008 0:00,Y,02G,Cold food held above 41°F (smoked fish above 38°F) except during necessary preparation.    
7/1/2008 0:00,8/1/2009 0:00,Y,02G,Cold food held above 41°F (smoked fish above 38°F) except during necessary preparation.    
8/2/2009 0:00,7/25/2010 0:00,Y,02G,Cold food held above 41°F (smoked fish above 38°F) except during necessary preparation.    
7/26/2010 0:00,12/31/2099 0:00,Y,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.    
3/24/2003 0:00,2/17/2005 0:00,Y,02H,Food not cooled by an approved method whereby the internal product temperature is reduced from 140&#176;F to 70&#176;F or less within 2 hours and from 70&#176;F to 41&#176;F or less within 4 additional hours.    
2/18/2005 0:00,6/30/2007 0:00,Y,02H,Food not cooled by an approved method whereby the internal product temperature is reduced from 140&#176;F to 70&#176;F or less within 2 hours and from 70&#176;F to 45&#176;F or less within 4 additional hours.    
7/1/2007 0:00,6/30/2008 0:00,Y,02H,Food not cooled by an approved method whereby the internal product temperature is reduced from 140°F to 70°F or less within 2 hours and from 70°F to 45°F or less within 4 additional hours.    
7/1/2008 0:00,8/1/2009 0:00,Y,02H,Food not cooled by an approved method whereby the internal product temperature is reduced from 140°F to 70°F or less within 2 hours and from 70°F to 45°F or less within 4 additional hours.    
8/2/2009 0:00,7/25/2010 0:00,Y,02H,Food not cooled by an approved method whereby the internal product temperature is reduced from 140°F to 70°F or less within 2 hours and from 70°F to 45°F or less within 4 additional hours.    
7/26/2010 0:00,12/31/2099 0:00,Y,02H,Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours. and from 70º F to 41º F or less within 4 additional hours.    
3/24/2003 0:00,2/17/2005 0:00,Y,02I,"Food prepared from ingredients at <a    onmouseover=ShowContent(A1' '02I'); return true;""     href=""javascript:ShowContent('A1' '02I')"">ambient temperature</a> not cooled to 41&#176;F or below within 4 hours.""  "
2/18/2005 0:00,6/30/2007 0:00,Y,02I,"Food prepared from ingredients at <a    onmouseover=ShowContent(A1' '02I'); return true;""     href=""javascript:ShowContent('A1' '02I')"">ambient temperature</a> not cooled to 41&#176;F or below within 4 hours.""  "
7/1/2007 0:00,6/30/2008 0:00,Y,02I,Food prepared from ingredients at ambient temperature not cooled to 41°F or below within 4 hours.    
7/1/2008 0:00,8/1/2009 0:00,Y,02I,Food prepared from ingredients at ambient temperature not cooled to 41°F or below within 4 hours.    
8/2/2009 0:00,7/25/2010 0:00,Y,02I,Food prepared from ingredients at ambient temperature not cooled to 41°F or below within 4 hours.    
7/26/2010 0:00,12/31/2099 0:00,Y,02I,Food prepared from ingredients at ambient temperature not cooled to 41º F or below within 4 hours.    
8/2/2009 0:00,7/25/2010 0:00,Y,02J,ROP processed food not colled by an approved method whereby core temperature is reduced to 38°F within 2 hours of cooking. and where required. to 34°F within 6 hours of reaching 38°F.    
7/26/2010 0:00,12/31/2099 0:00,Y,02J,Reduced oxygen packaged (ROP) foods not cooled by an approved method whereby the internal food temperature is reduced to 38º F within two hours of cooking and if necessary further cooled to a temperature of 34º F within six hours of reaching 38º F.    
1/1/1901 0:00,3/23/2003 0:00,Y,03A,Cold food held above 45&#176;F (smoked fish above 38&#176;F) except during necessary preparation.    
3/24/2003 0:00,2/17/2005 0:00,Y,03A,Food from unapproved or unknown source. spoiled. adulterated. or home canned.    
2/18/2005 0:00,6/30/2007 0:00,Y,03A,Food from unapproved or unknown source. spoiled. adulterated. or home canned.    
7/1/2007 0:00,6/30/2008 0:00,Y,03A,Food from unapproved or unknown source. spoiled. adulterated. or home canned.    
7/1/2008 0:00,8/1/2009 0:00,Y,03A,Food from unapproved or unknown source. spoiled. adulterated. or home canned.    
8/2/2009 0:00,7/25/2010 0:00,Y,03A,Food from unapproved or unknown source. spoiled. adulterated. or home canned.    
7/26/2010 0:00,12/31/2099 0:00,Y,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.    
1/1/1901 0:00,3/23/2003 0:00,Y,03B,Food not cooled by an approved method whereby the internal product temperature is reduced from 140&#176;F to 70&#176;F or less within 2 hours and from 70&#176;F to 45&#176;F or less within 4 additional hours.    
3/24/2003 0:00,2/17/2005 0:00,Y,03B,"<a href=http://www.nyc.gov/html/doh/html/rii/glossary.html#S2"" target=""gloss_win"">Shellfish not from approved source  improperly tagged/labeled; tags not retained for 90 days.</a>""   "
2/18/2005 0:00,6/30/2007 0:00,Y,03B,"<a href=http://www.nyc.gov/html/doh/html/rii/glossary.html#S2"" target=""gloss_win"">Shellfish not from approved source  improperly tagged/labeled; tags not retained for 90 days.</a>""   "
7/1/2007 0:00,6/30/2008 0:00,Y,03B,Shellfish not from approved source. improperly tagged/labeled; tags not retained for 90 days.    
7/1/2008 0:00,8/1/2009 0:00,Y,03B,Shellfish not from approved source. improperly tagged/labeled; tags not retained for 90 days.    
8/2/2009 0:00,7/25/2010 0:00,Y,03B,Shellfish not from approved source. improperly tagged/labeled; tags not retained for 90 days.    
7/26/2010 0:00,12/31/2099 0:00,Y,03B,Shellfish not from approved source. improperly tagged/labeled; tags not retained for 90 days.    
1/1/1901 0:00,3/23/2003 0:00,Y,03C,"Food prepared from ingredients at <a    onmouseover=ShowContent('A1' '03C'); return true;""     href=""javascript:ShowContent('A1' '03C')"">ambient temperature</a> not cooled to 45&#176;F or below within 4 hours.""  "
3/24/2003 0:00,2/17/2005 0:00,Y,03C,"Eggs found dirty. cracked; liquid. frozen or powdered eggs not <a    onmouseover=ShowContent('P1' '03C'); return true;""     href=""javascript:ShowContent('P1' '03C')"">pasteurized</a>.""  "
2/18/2005 0:00,6/30/2007 0:00,Y,03C,"Eggs found dirty. cracked; liquid. frozen or powdered eggs not <a    onmouseover=ShowContent('P1' '03C'); return true;""     href=""javascript:ShowContent('P1' '03C')"">pasteurized</a>.""  "
7/1/2007 0:00,6/30/2008 0:00,Y,03C,Eggs found dirty. cracked; liquid. frozen or powdered eggs not pasteurized.    
7/1/2008 0:00,8/1/2009 0:00,Y,03C,Eggs found dirty. cracked; liquid. frozen or powdered eggs not pasteurized.    
8/2/2009 0:00,7/25/2010 0:00,Y,03C,Eggs found dirty. cracked; liquid. frozen or powdered eggs not pasteurized.    
7/26/2010 0:00,12/31/2099 0:00,Y,03C,Eggs found dirty/cracked; liquid. frozen or powdered eggs not pasteurized.    
3/24/2003 0:00,2/17/2005 0:00,Y,03D,Canned food product observed swollen. leaking. rusted. severely dented.    
2/18/2005 0:00,6/30/2007 0:00,Y,03D,Canned food product observed swollen. leaking. and rusted.    
7/1/2007 0:00,6/30/2008 0:00,Y,03D,Canned food product observed swollen. leaking. and rusted.    
7/1/2008 0:00,8/1/2009 0:00,Y,03D,Canned food product observed swollen. leaking. and rusted.    
8/2/2009 0:00,7/25/2010 0:00,Y,03D,Canned food product observed swollen. leaking. and rusted.    
7/26/2010 0:00,12/31/2099 0:00,Y,03D,Canned food product observed swollen. leaking or rusted. and not segregated from other consumable food items .    
3/24/2003 0:00,2/17/2005 0:00,Y,03E,"<a    onmouseover=ShowContent('P3' '03E'); return true;""     href=""javascript:ShowContent('P3' '03E')"">Potable water</a> supply inadequate. Water or ice not potable or from unapproved source. Cross connection in potable water supply system observed.""  "
2/18/2005 0:00,6/30/2007 0:00,Y,03E,"<a    onmouseover=ShowContent('P3' '03E'); return true;""     href=""javascript:ShowContent('P3' '03E')"">Potable water</a> supply inadequate. Water or ice not potable or from unapproved source. Cross connection in potable water supply system observed.""  "
7/1/2007 0:00,6/30/2008 0:00,Y,03E,Potable water system inadequate. Water or ice not potable or from unapproved source. Cross connection in potable water supply system observed.    
7/1/2008 0:00,8/1/2009 0:00,Y,03E,Potable water system inadequate. Water or ice not potable or from unapproved source. Cross connection in potable water supply system observed.    
8/2/2009 0:00,7/25/2010 0:00,Y,03E,Potable water system inadequate. Water or ice not potable or from unapproved source. Cross connection in potable water supply system observed.    
7/26/2010 0:00,12/31/2099 0:00,Y,03E,Potable water supply inadequate. Water or ice not potable or from unapproved source.  Cross connection in potable water supply system observed.    
3/24/2003 0:00,2/17/2005 0:00,Y,03F,"<a    onmouseover=ShowContent('P1' '03F'); return true;""     href=""javascript:ShowContent('P1' '03F')"">Unpasteurized</a> milk or milk product present.""  "
2/18/2005 0:00,6/30/2007 0:00,Y,03F,"<a    onmouseover=ShowContent('P1' '03F'); return true;""     href=""javascript:ShowContent('P1' '03F')"">Unpasteurized</a> milk or milk product present.""  "
7/1/2007 0:00,6/30/2008 0:00,Y,03F,Unpasteurized milk or milk product present.    
7/1/2008 0:00,8/1/2009 0:00,Y,03F,Unpasteurized milk or milk product present.    
8/2/2009 0:00,7/25/2010 0:00,Y,03F,Unpasteurized milk or milk product present.    
7/26/2010 0:00,12/31/2099 0:00,Y,03F,Unpasteurized milk or milk product present.    
3/24/2003 0:00,2/17/2005 0:00,Y,03G,Milk or milk product undated. improperly dated or expired.    
2/18/2005 0:00,6/30/2007 0:00,Y,03G,Raw food not properly washed prior to serving.    
7/1/2007 0:00,6/30/2008 0:00,Y,03G,Raw food not properly washed prior to serving.    
7/1/2008 0:00,8/1/2009 0:00,Y,03G,Raw food not properly washed prior to serving.    
8/2/2009 0:00,7/25/2010 0:00,Y,03G,Raw food not properly washed prior to serving.    
7/26/2010 0:00,12/31/2099 0:00,Y,03G,Raw food not properly washed prior to serving.    
3/24/2003 0:00,2/17/2005 0:00,Y,03H,Raw food not properly washed prior to serving.    
1/1/1901 0:00,3/23/2003 0:00,Y,04A,Food from unapproved or unknown source. spoiled. adulterated. or home canned.    
3/24/2003 0:00,2/17/2005 0:00,Y,04A,"<a    onmouseover=ShowContent('F3' '04A'); return true;""     href=""javascript:ShowContent('F3' '04A')"">Food Protection Certificate</a> not held by supervisor of food operations.""  "
2/18/2005 0:00,6/30/2007 0:00,Y,04A,"<a    onmouseover=ShowContent('F3' '04A'); return true;""     href=""javascript:ShowContent('F3' '04A')"">Food Protection Certificate</a> not held by supervisor of food operations.""  "
7/1/2007 0:00,6/30/2008 0:00,Y,04A,Food Protection Certificate not held by supervisor of food operations.    
7/1/2008 0:00,8/1/2009 0:00,Y,04A,Food Protection Certificate not held by supervisor of food operations.    
8/2/2009 0:00,7/25/2010 0:00,Y,04A,Food Protection Certificate not held by supervisor of food operations.    
7/26/2010 0:00,12/31/2099 0:00,Y,04A,Food Protection Certificate not held by supervisor of food operations.    
1/1/1901 0:00,3/23/2003 0:00,Y,04B,"<a href=http://www.nyc.gov/html/doh/html/rii/glossary.html#S2"" target=""gloss_win"">Shellfish not from approved source  improperly tagged/labeled; tags not retained for 90 days.</a>""   "
3/24/2003 0:00,2/17/2005 0:00,Y,04B,"Food worker prepares food or handles utensil when ill with a disease <a    onmouseover=ShowContent('D1' '04B'); return true;""     href=""javascript:ShowContent('D1' '04B')"">transmissible by food</a>  or have exposed infected cut or burn on their hand."" "
2/18/2005 0:00,6/30/2007 0:00,Y,04B,"Food worker prepares food or handles utensil when ill with a disease <a    onmouseover=ShowContent('D1' '04B'); return true;""     href=""javascript:ShowContent('D1' '04B')"">transmissible by food</a>  or have exposed infected cut or burn on their hand."" "
7/1/2007 0:00,6/30/2008 0:00,Y,04B,Food worker prepares food or handles utensil when ill with a disease transmissible by food. or have exposed infected cut or burn on their hand.    
7/1/2008 0:00,8/1/2009 0:00,Y,04B,Food worker prepares food or handles utensil when ill with a disease transmissible by food. or have exposed infected cut or burn on their hand.    
8/2/2009 0:00,7/25/2010 0:00,Y,04B,Food worker prepares food or handles utensil when ill with a disease transmissible by food. or have exposed infected cut or burn on their hand.    
7/26/2010 0:00,12/31/2099 0:00,Y,04B,Food worker prepares food or handles utensil when ill with a disease transmissible by food. or have exposed infected cut or burn on hand.    
1/1/1901 0:00,3/23/2003 0:00,Y,04C,"Eggs found dirty. cracked; liquid. frozen or powdered eggs not <a    onmouseover=ShowContent('P1' '04C'); return true;""     href=""javascript:ShowContent('P1' '04C')"">pasteurized</a>.""  "
3/24/2003 0:00,2/17/2005 0:00,Y,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.    
2/18/2005 0:00,6/30/2007 0:00,Y,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.    
7/1/2007 0:00,6/30/2008 0:00,Y,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.    
7/1/2008 0:00,8/1/2009 0:00,Y,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.    
8/2/2009 0:00,7/25/2010 0:00,Y,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.    
7/26/2010 0:00,12/31/2099 0:00,Y,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.    
1/1/1901 0:00,3/23/2003 0:00,Y,04D,Canned food product observed swollen. leaking. rusted. severely dented.    
3/24/2003 0:00,2/17/2005 0:00,Y,04D,Food worker does not wash hands thoroughly after visiting the toilet. coughing. sneezing. smoking. preparing raw foods or otherwise contaminating hands.    
2/18/2005 0:00,6/30/2007 0:00,Y,04D,Food worker does not wash hands thoroughly after visiting the toilet. coughing. sneezing. smoking. preparing raw foods or otherwise contaminating hands.    
7/1/2007 0:00,6/30/2008 0:00,Y,04D,Food worker does not wash hands thoroughly after visiting the toilet. coughing. sneezing. smoking. preparing raw foods or otherwise contaminating hands.    
7/1/2008 0:00,8/1/2009 0:00,Y,04D,Food worker does not wash hands thoroughly after visiting the toilet. coughing. sneezing. smoking. preparing raw foods or otherwise contaminating hands.    
8/2/2009 0:00,7/25/2010 0:00,Y,04D,Food worker does not wash hands thoroughly after visiting the toilet. coughing. sneezing. smoking. preparing raw foods or otherwise contaminating hands.    
7/26/2010 0:00,12/31/2099 0:00,Y,04D,Food worker does not wash hands thoroughly after using the toilet. coughing. sneezing. smoking. eating. preparing raw foods or otherwise contaminating hands.    
1/1/1901 0:00,3/23/2003 0:00,Y,04E,"<a    onmouseover=ShowContent('P3' '04E'); return true;""     href=""javascript:ShowContent('P3' '04E')"">Potable water</a> supply inadequate. Water or ice not potable or from unapproved source. Cross connection in potable water supply system observed.""  "
3/24/2003 0:00,2/17/2005 0:00,Y,04E,"<a    onmouseover=ShowContent('T3' '04E'); return true;""     href=""javascript:ShowContent('T3' '04E')"">Toxic chemical</a> improperly labeled  stored or used so that contamination of food may occur."" "
2/18/2005 0:00,6/30/2007 0:00,Y,04E,"<a    onmouseover=ShowContent('T3' '04E'); return true;""     href=""javascript:ShowContent('T3' '04E')"">Toxic chemical</a> improperly labeled  stored or used so that contamination of food may occur."" "
7/1/2007 0:00,6/30/2008 0:00,Y,04E,Toxic chemical improperly labeled. stored or used so that contamination of food may occur.    
7/1/2008 0:00,8/1/2009 0:00,Y,04E,Toxic chemical improperly labeled. stored or used so that contamination of food may occur.    
8/2/2009 0:00,7/25/2010 0:00,Y,04E,Toxic chemical improperly labeled. stored or used so that contamination of food may occur.    
7/26/2010 0:00,12/31/2099 0:00,Y,04E,Toxic chemical improperly labeled. stored or used such that food contamination may occur.    
1/1/1901 0:00,3/23/2003 0:00,Y,04F,"<a    onmouseover=ShowContent('P1' '04F'); return true;""     href=""javascript:ShowContent('P1' '04F')"">Unpasteurized</a> milk or milk product present.""  "
3/24/2003 0:00,2/17/2005 0:00,Y,04F,"Food. food preparation area. food storage area. area used by employees or patrons. contaminated by <a    onmouseover=ShowContent('S1' '04F'); return true;""     href=""javascript:ShowContent('S1' '04F')"">sewage</a> or liquid waste.""  "
2/18/2005 0:00,6/30/2007 0:00,Y,04F,"Food. food preparation area. food storage area. area used by employees or patrons. contaminated by <a    onmouseover=ShowContent('S1' '04F'); return true;""     href=""javascript:ShowContent('S1' '04F')"">sewage</a> or liquid waste.""  "
7/1/2007 0:00,6/30/2008 0:00,Y,04F,Food. food preparation area. food storage area. area used by employees or patrons. contaminated by sewage or liquid waste.    
7/1/2008 0:00,8/1/2009 0:00,Y,04F,Food. food preparation area. food storage area. area used by employees or patrons. contaminated by sewage or liquid waste.    
8/2/2009 0:00,7/25/2010 0:00,Y,04F,Food. food preparation area. food storage area. area used by employees or patrons. contaminated by sewage or liquid waste.    
7/26/2010 0:00,12/31/2099 0:00,Y,04F,Food. food preparation area. food storage area. area used by employees or patrons. contaminated by sewage or liquid waste.    
1/1/1901 0:00,3/23/2003 0:00,Y,04G,Milk or milk product undated. improperly dated or expired.    
